Month,Site,Species,V.cholerae,V.parahaemolyticus,Coliform,E.coli,Temp,Salinity,Season
Mar,JIYC,Water,2148.89,400,878.75,666.67,16.61,18.71,Dry
Apr,SHEM,Ulva,2483.33,3616.67,1290,250,20.19,26.1,Rainy
Apr,SHEM,Gracilaria ,12400,13300,1421.25,250,20.19,26.1,Rainy
Apr,SHEM,Water,1972.22,1033.33,1195.95,362.5,20.19,26.1,Rainy
Apr,CHS,Ulva,2483.33,3616.67,7500,250,20.61,25.22,Rainy
Apr,CHS,Gracilaria ,12400,13300,1044.44,666.6666667,20.61,25.22,Rainy
Apr,CHS,Water,1972.22,1033.33,1241.31,250,20.61,25.22,Rainy
Apr,JIYC,Ulva,1233.33,2500,478.75,250,21.32,24.96,Rainy
Apr,JIYC,Gracilaria ,2933.34,2725,1579.44,250,21.32,24.96,Rainy
Apr,JIYC,Water,2700,400,1350.79,250,21.32,24.96,Rainy
May,SHEM,Ulva,4300,2300,2916.665,250,26.68,25.83,Rainy
May,SHEM,Gracilaria ,13000,13000,1533.335,250,26.68,25.83,Rainy
May,SHEM,Water,3875,1422.22,1355.56,525,26.68,25.83,Rainy
May,CHS,Ulva,13000,13000,10700,250,26.19,23.36,Rainy
May,CHS,Gracilaria ,26000,26000,9700,1080.8,26.19,23.36,Rainy
May,CHS,Water,2783.33,1455.56,9400,1024.166667,26.19,23.36,Rainy
May,JIYC,Ulva,3455.56,3300,628.33,250,26.72,23.86,Rainy
May,JIYC,Gracilaria ,15000,14400,1144.58,250,26.72,23.86,Rainy
May,JIYC,Water,3133.33,1100,2339.38,300,26.72,23.86,Rainy
Jun,SHEM,Ulva,10000,14800,2533.34,250,29.11,26.38,Rainy
Jun,SHEM,Gracilaria ,9600,23200,1383.34,250,29.11,26.38,Rainy
Jun,SHEM,Water,2450,1800,1960,695,29.11,26.38,Rainy
Jun,CHS,Ulva,2600,26000,9800,400,28.44,19.58,Rainy
Jun,CHS,Gracilaria ,2600,2600,6700,400,28.44,19.58,Rainy
Jun,CHS,Water,2450,1100,1490,400,28.44,19.58,Rainy
Jun,JIYC,Ulva,8250,5100,1442.86,222.2,28.89,21.45,Rainy
Jun,JIYC,Gracilaria ,11600,6350,362.7,222.2,28.89,21.45,Rainy
Jun,JIYC,Water,1600,1000,1028.89,222.2,28.89,21.45,Rainy
Jul,SHEM,Ulva,52000,52000,6500,1000,29.83,25.67,Rainy
Jul,SHEM,Gracilaria ,52000,52000,6500,1000,29.83,25.67,Rainy
Jul,SHEM,Water,4000,4000,5750,285.71,29.83,25.67,Rainy
Jul,CHS,Ulva,52000,52000,3650,500,30.22,23.35,Rainy
Jul,CHS,Gracilaria ,21200,15200,4400,3700,30.22,23.35,Rainy
Jul,CHS,Water,8000,8000,2413.36,420,30.22,23.35,Rainy
Jul,JIYC,Ulva,2000,2000,1866.67,222.2,30.75,23.27,Rainy
Jul,JIYC,Gracilaria ,24600,19600,3208.34,1100,30.75,23.27,Rainy
Jul,JIYC,Water,4000,4000,641.27,222.2,30.75,23.27,Rainy
Aug,SHEM,Ulva,24100,22800,18600,666.7,28.16,23.16,Rainy
Aug,SHEM,Gracilaria ,26300,36000,9850,400,28.16,23.16,Rainy
Aug,SHEM,Water,2600,2000,2925,333.3,28.16,23.16,Rainy
Aug,CHS,Ulva,26000,26000,12100,400,28.9,21.79,Rainy
Aug,CHS,Gracilaria ,32400,16400,26000,26000,28.9,21.79,Rainy
Aug,CHS,Water,3333.33,2666.67,1394.44,333.3,28.9,21.79,Rainy
Aug,JIYC,Ulva,52000,52000,13000,13000,28.98,22.13,Rainy
Aug,JIYC,Gracilaria ,143000,23100,12700,4333.33,28.98,22.13,Rainy
Aug,JIYC,Water,3200,2666.67,2100,285.7142857,28.98,22.13,Rainy
Sept.24,SHEM,Ulva,5750,8100,2644.44,333.3333333,25.36,28.57,Rainy
Sept.24,SHEM,Gracilaria ,26000,26000,3816.665,666.6666667,25.36,28.57,Rainy
Sept.24,SHEM,Water,2000,2000,1145.05,325,25.36,28.57,Rainy
Sept.24,CHS,Ulva,52000,52000,7300,666.6666667,25.47,28,Rainy
Sept.24,CHS,Gracilaria ,15600,12400,9100,550,25.47,28,Rainy
Sept.24,CHS,Water,7566.67,2000,5100,475,25.47,28,Rainy
Sept.24,JIYC,Ulva,7000,9800,1040,400,26.4,28.77,Rainy
Sept.24,JIYC,Gracilaria ,12800,16400,4333.33,333.3333333,26.4,28.77,Rainy
Sept.24,JIYC,Water,222.22,2000,930.79,222.2,26.4,28.77,Rainy
